el article	el	article	masculine singular definite article; the		
finalmente adv	finalmente	adv	finally, in the end	Finalmente terminamos el proyecto juntos.	We finally finished the project together.
mentir verb	mentir	verb	to lie (say something untrue)	No debes mentir a tus padres.	You shouldn't lie to your parents.
veinte num	veinte	num	twenty	En la clase hay veinte estudiantes.	There are twenty students in the class.
molestar verb	molestar	verb	to bother, to disturb, to trouble, to impose, to inconvenience, to burden	No quiero molestar a nadie más.	I don't want to bother anyone else.
tampoco adv	tampoco	adv	neither; nor; also not	Yo tampoco quiero ir hoy temprano.	I don't want to go early today either.
cual adv	cual	adv	like, as, in the manner of	Lloraba cual un niño muy pequeño.	He was crying like a very small child.
cual pron	cual	pron	suchlike, like (which), such as	No entiendo nada, lo cual me preocupa.	I don't understand anything, which worries me.
alma noun	alma	noun	soul	Siento mi alma tranquila hoy.	I feel my soul at peace today.
oro noun	oro	noun	gold.	El precio del oro subió hoy.	The price of gold went up today.
confiscar verb	confiscar	verb	to confiscate	xxx	xxx
arma noun	arma	noun	weapon, arm	El policía confiscó rápidamente el arma peligrosa.	The police officer quickly confiscated the dangerous weapon.
producir verb	producir	verb	to produce	Si trabajamos juntos, produciremos mejores ideas.	If we work together, we will produce better ideas.
continuar verb	continuar	verb	to continue, to carry on	Debemos continuar con el proyecto mañana.	We must continue with the project tomorrow.
obtener verb	obtener	verb	to obtain	Si trabajas duro, obtendrás mejores oportunidades.	If you work hard, you will get better opportunities.
analizar verb	analizar	verb	to analyze (to subject to analysis)	¿Puedes analizar este problema conmigo?	Can you analyze this problem with me?
uso noun	uso	noun	use	Analizamos los usos comunes de esta palabra.	We analyzed the common uses of this word.
ruso adj	ruso	adj	Russian	El equipo ruso ganó el campeonato.	The Russian team won the championship.
ruso noun	ruso	noun	Russian (person) (male or of unspecified sex)	El joven ruso aprendió español en un año.	The young Russian learned Spanish in a year.
pues conj	pues	conj	so, then; in that case	Mañana viajamos juntos, pues termina temprano.	Tomorrow we travel together, since it ends early.
exactamente adv	exactamente	adv	exactly	Quiero saber exactamente qué necesitas.	I want to know exactly what you need.
vacío adj	vacío	adj	empty, vacant	Las camas siguen vacías esta mañana.	The beds are still empty this morning.
enfrentar verb	enfrentar	verb	to confront, to face, to stand up to, (a person or force aggressively)	Aprendimos a enfrentar los cambios juntos.	We learned to face the changes together.
vacío noun	vacío	noun	vacuum, void	El arte a veces enfrenta el vacío de sentido.	Art sometimes confronts the void of meaning.
salvar verb	salvar	verb	to save	Ojalá podamos salvar el bosque.	I hope we can save the forest.
suyo pron	suyo	pron	his, hers, its	Traje mis libros, y él trajo los suyos también.	I brought my books, and he brought his as well.
suyo det	suyo	det	his, hers, its, to her	Encontré un libro suyo en la mesa.	I found one of his books on the table.
manejar verb	manejar	verb	to handle	¿Puedes manejar esta situación difícil?	Can you handle this difficult situation?
quejar verb	quejar	verb	only used in se ... quejar, syntactic variant of quejarse	No se debería quejar tanto.	One shouldn't complain so much.
esfuerzo noun	esfuerzo	noun	effort, endeavor	Sus esfuerzos dieron resultados después de meses.	Their efforts produced results after months.
perfecto adj	perfecto	adj	perfect	Buscamos el regalo perfecto para su cumpleaños.	We're looking for the perfect gift for their birthday.
pegar verb	pegar	verb	to stick	Mañana pegaré el mosaico con cuidado.	Tomorrow I will glue the mosaic carefully.
novio noun	novio	noun	boyfriend (romantic partner)	Mi novio y yo viajamos mañana.	My boyfriend and I are traveling tomorrow.
totalmente adv	totalmente	adv	totally	Estoy totalmente de acuerdo contigo.	I totally agree with you.
perdonar verb	perdonar	verb	to pardon, excuse, forgive	Ojalá él nos perdone pronto.	I hope he forgives us soon.
soñar verb	soñar	verb	to dream	Anoche soñé que visitaba tu ciudad.	Last night I dreamed that I was visiting your city.
helado adj	helado	adj	icy, frozen	El viento helado me cortaba la cara.	The icy wind was cutting my face.
helado noun	helado	noun	ice cream	Quiero compartir mi helado contigo.	I want to share my ice cream with you.
paciente adj	paciente	adj	patient	Mi abuela, siempre paciente, nos escucha.	My grandmother, always patient, listens to us.
paciente noun	paciente	noun	patient	El paciente espera su turno tranquilamente.	The patient calmly waits for his turn.
engañar verb	engañar	verb	to trick, to deceive, to hoodwink, to cheat	No intentes engañar a tus amigos.	Don't try to trick your friends.
lista noun	lista	noun	list, roll	Necesito revisar la lista antes de salir.	I need to check the list before leaving.
planeta noun	planeta	noun	planet	Marte es un planeta rojo y frío.	Mars is a red and cold planet.
pelar verb	pelar	verb	to peel (fruits, vegetables)	Mi abuelo pela naranjas todos los días.	My grandfather peels oranges every day.
pulverizar verb	pulverizar	verb	to pulverize, atomize	xxx	xxx
guapo adj	guapo	adj	good-looking; handsome, pretty (describes a man or a woman)	Esos chicos guapos cantan muy bien.	Those handsome boys sing very well.
pásame verb	pásame	verb	second-person singular imperative of pasar combined with me	xxx	xxx
cuchillo noun	cuchillo	noun	knife	Pásame el cuchillo, por favor.	Pass me the knife, please.
ciencia noun	ciencia	noun	science	En la ciencia, observamos, medimos y comparamos.	In science, we observe, measure, and compare.
ante prep	ante	prep	in front of, before	Se detuvo ante el semáforo en rojo.	They stopped before the red traffic light.
prisa noun	prisa	noun	hurry, rush, urgency	¿Tienes mucha prisa esta tarde?	Are you in a hurry this afternoon?
matemático adj	matemático	adj	mathematical (relating to mathematics)	El problema matemático fue resuelto hoy.	The math problem was solved today.
matemático noun	matemático	noun	mathematician	Muchos matemáticos enseñan en universidades públicas.	Many mathematicians teach at public universities.
dormido adj	dormido	adj	asleep, sleeping	Ella estaba dormida cuando llegaste.	She was asleep when you arrived.
ejemplo noun	ejemplo	noun	example	Necesitamos más ejemplos en la clase.	We need more examples in class.
pertenecer verb	pertenecer	verb	to belong; to pertain	¿Crees que pertenezco a este lugar?	Do you think I belong here?
ladrón adj	ladrón	adj	thievish	Noten su aire ladrón al entrar.	Notice their thievish air upon entering.
ladrón noun	ladrón	noun	thief; robber; rogue; crook	Un ladrón intentó abrir el coche de noche.	A thief tried to open the car at night.
azúcar noun	azúcar	noun	sugar	Me gusta el café con azúcar.	I like coffee with sugar.
enamorar verb	enamorar	verb	to enamor	Ellos enamoraron a muchos en la universidad.	They charmed many people at the university.
capital noun	capital	noun	capital	La capital del estado creció rápidamente.	The state capital grew rapidly.
valor noun	valor	noun	value (all senses)	El valor del libro bajó este año.	The value of the book decreased this year.
cubrir verb	cubrir	verb	to cover	¿Puedes cubrir mi turno mañana?	Can you cover my shift tomorrow?
daño noun	daño	noun	damage	El seguro cubrirá los daños del accidente.	The insurance will cover the damage from the accident.
página noun	página	noun	page	Por favor, abre el libro en la página tres.	Please, open the book to page three.
actuar verb	actuar	verb	to act, to behave	Debemos actuar rápido para ayudar.	We must act quickly to help.
delante adv	delante	adv	in front of, before (spatially)	El coche está delante del camión.	The car is in front of the truck.
cerrado adj	cerrado	adj	shut, closed	El banco estaba cerrado el domingo.	The bank was closed on Sunday.
máquina noun	máquina	noun	machine	La máquina de escribir suena muy fuerte.	The typewriter sounds very loud.
silencio noun	silencio	noun	silence	Hubo un largo silencio antes de su respuesta.	There was a long silence before their response.
escapar verb	escapar	verb	to escape, get out	A veces quiero escapar de la rutina diaria.	Sometimes I want to escape the daily routine.
guitarra noun	guitarra	noun	guitar	Compré una guitarra nueva ayer.	I bought a new guitar yesterday.
aeropuerto noun	aeropuerto	noun	airport	El aeropuerto estaba muy lleno hoy.	The airport was very crowded today.
botella noun	botella	noun	bottle	Puse la botella de agua en la mesa.	I put the water bottle on the table.
paseo noun	paseo	noun	walk, stroll	Damos un paseo por el parque.	We go for a walk in the park.
atrás adv	atrás	adv	behind	No mires atrás cuando camines.	Don't look back when you walk.
atrás intj	atrás	intj	get back, back off, back away	¡Atrás, no te acerques al fuego!	Back, don't go near the fire!
guardar verb	guardar	verb	to save (to store for future use)	Ayer guardamos la ropa de invierno en cajas.	Yesterday we put away the winter clothes in boxes.
mitad noun	mitad	noun	half	Pagamos a mitad de precio.	We pay half price.
huir verb	huir	verb	to flee, to run away	Muchos animales huyen del fuego.	Many animals flee from the fire.
soportar verb	soportar	verb	to bear, to endure, to withstand, put up with, tolerate, to stomach, to weather, to handle	No puedo soportar ese ruido.	I can't stand that noise.
despedir verb	despedir	verb	to dismiss	Ojalá no te vuelvan a despedir nunca.	I hope they never fire you again.
orden noun	orden	noun	order	Necesitamos orden para trabajar mejor.	We need order to work better.
útil adj	útil	adj	helpful; useful	Este diccionario es muy útil para estudiantes de español.	This dictionary is very useful for students of Spanish.
contento adj	contento	adj	content	Seguimos contentos con el acuerdo.	We are still happy with the agreement.
contento noun	contento	noun	contentment; gladness	Perdió el contento tras la noticia.	They lost their good mood after the news.
deporte noun	deporte	noun	sport	El deporte ayuda a mantener la salud.	Sports help maintain health.
traducción noun	traducción	noun	translation	¿Puedes revisar mi traducción al inglés?	Can you review my translation into English?
convencer verb	convencer	verb	to convince	Ojalá él me convenza pronto.	I hope he convinces me soon.
debajo prep	debajo	prep	below, under	El gato duerme debajo de la mesa.	The cat sleeps under the table.
lago noun	lago	noun	lake	Los niños nadaron en el lago frío.	The children swam in the cold lake.
objetivo adj	objetivo	adj	objective	El periodista intentó ser objetivo siempre.	The journalist always tried to be objective.
objetivo noun	objetivo	noun	objective	Nuestro objetivo es aprender cada día.	Our objective is to learn every day.
acostar verb	acostar	verb	to lay	Ojalá lo acueste temprano esta semana.	I hope to put him to bed early this week.
espalda noun	espalda	noun	back	Me duele la espalda cada mañana.	My back hurts every morning.
tormenta noun	tormenta	noun	storm, thunderstorm, lightning storm	Cancelaron las clases por la tormenta.	They canceled classes because of the storm.
causar verb	causar	verb	to cause, to make	La tormenta causará retrasos en la carretera.	The storm will cause delays on the road.
suficientemente adv	suficientemente	adv	sufficiently	El café está lo suficientemente caliente para beber.	The coffee is hot enough to drink.
